Nom_scientifique,Nom_français,Nom_valide,CD_NOM
Dianthus deltoides L.,Oeillet couche,"Dianthus deltoides L., 1753 subsp. deltoides",133835
Dichanthium ischaemum (L.) Roberty,Barbon,"Bothriochloa ischaemum (L.) Keng, 1936",86169
Draba muralis L.,Drave des murailles,"Draba muralis L., 1753",95337
Elatine hexandra (Lapierre) DC.,Elatine a six etamines,"Elatine hexandra (Lapierre) DC., 1808",95858
Epipactis purpurata Sm.,Epipactis pourpre,"Epipactis purpurata Sm., 1828 [nom. cons.]",96471
Equisetum hyemale L.,Prele d'hiver,"Equisetum hyemale L., 1753 subsp. hyemale",788972
Equisetum hyemale L.,Prele d'hiver,"Equisetum hyemale L., 1753",96523
Equisetum variegatum Schleich. ex Weber et Mohr,Prele panachee,"Equisetum variegatum Schleich. ex F.Weber & D.Mohr, 1807 subsp. variegatum",762187
Equisetum variegatum Schleich. ex Weber et Mohr,Prele panachee,"Equisetum variegatum Schleich. ex F.Weber & D.Mohr, 1807",762284
Erica ciliaris L.,Bruyere ciliee,"Erica ciliaris L., 1753",96665
Erica scoparia L.,Bruyere a balais,"Erica scoparia L., 1753 subsp. scoparia",134198
Erica scoparia L.,Bruyere a balais,"Erica scoparia L., 1753",96691
Erica vagans L.,Bruyere vagabonde,"Erica vagans L., 1770 [nom. et typ. cons.]",96698
Eriophorum angustifolium Honckeny,Linaigrette a feuilles etroites,"Eriophorum angustifolium Honck., 1782 subsp. angustifolium",718348
Eriophorum angustifolium Honckeny,Linaigrette a feuilles etroites,"Eriophorum angustifolium Honck., 1782",96844
Eriophorum latifolium Hoppe,Linaigrette a feuilles larges,"Eriophorum latifolium Hoppe, 1800",96852
Eriophorum vaginatum L.,Linaigrette vaginee,"Eriophorum vaginatum L., 1753",96861
Eruca vesicaria (L.) Cav. ssp. sativa (Mill.) Thell.,Roquette cultivee,"Eruca vesicaria (L.) Cav., 1802",97041
Euphorbia brittingeri Opiz ex Samp.,Euphorbe verruqueuse,"Euphorbia verrucosa L., 1753",97699
Falcaria vulgaris Bernh.,Falcaire,"Falcaria vulgaris Bernh., 1800",97956
Genista germanica L.,Genet d'Allemagne,"Genista germanica L., 1753",99754
Geum rivale L.,Benoite des ruisseaux,"Geum rivale L., 1753",100215
Gymnocarpium dryopteris (L.) Newman,Polypode du chene,"Gymnocarpium dryopteris (L.) Newman, 1851",100636
Gymnocarpium robertianum (Hoffm.) Newman,Polypode du calcaire,"Gymnocarpium robertianum (Hoffm.) Newman, 1851",100640
Halimium umbellatum (L.) Spach,Helientheme en ombelle,"Cistus umbellatus L., 1753 subsp. umbellatus",612436
Halimium umbellatum (L.) Spach,Helientheme en ombelle,"Cistus umbellatus subsp. viscosus (Willk.) Demoly, 2006",612435
Halimium umbellatum (L.) Spach,Helientheme en ombelle,"Cistus umbellatus L., 1753",91727
Helianthemum canum (L.) Baumg.,Heliantheme blanc,"Helianthemum oelandicum var. canescens (Hartm.) Fr., 1824",981676
Helleborus viridis L. ssp. occidentalis (Reuter) Schiffner,Hellebore vert,"Helleborus viridis L., 1753",101202
Hepatica nobilis Miller,Anemone hepatique,"Hepatica nobilis Schreb., 1771",101253
Herminium monorchis (L.) R. Br.,Orchis musc,"Herminium monorchis (L.) R.Br., 1813",101315
Hornungia petraea (L.) Reichenb.,Hutchinsie,"Hornungia petraea (L.) Rchb., 1838",103019
Hypericum helodes L.,Millepertuis des marais,"Hypericum elodes L., 1759",103272
Hypochoeris maculata L.,Porcelle tachee,"Hypochaeris maculata L., 1753",103369
Hyssopus officinalis L.,Hysope,"Hyssopus officinalis L., 1753",103406
Illecebrum verticillatum L.,Illecebre verticille,"Illecebrum verticillatum L., 1753",103536
Impatiens noli-tangere L.,Balsamine des bois,"Impatiens noli-tangere L., 1753 [nom. et typ. cons.]",103553
Inula britannica L.,Inule des fleuves,"Inula britannica L., 1753",103598
Inula hirta L.,Inule herissee,"Inula hirta L., 1753",103631
Isopyrum thalictroides L.,Isopyre faux-pygamon,"Isopyrum thalictroides L., 1753",103917
Juncus capitatus Weigel,Jonc a inflorescence globuleuse,"Juncus capitatus Weigel, 1772",104148
Juncus pygmaeus L.C.M. Richard,Jonc nain,"Juncus pygmaeus Rich. ex Thuill., 1799",104302
Laserpitium latifolium L. var. asperum,Laser blanc,"Laserpitium latifolium L., 1753 subsp. latifolium",718371
Lathraea clandestina L.,Lathree clandestine,"Lathraea clandestina L., 1753",105145
Lathraea squamaria L.,Lathree ecailleuse,"Lathraea squamaria L., 1753",105148
Lathyrus niger (L.) Bernh.,Gesse noire,"Lathyrus niger (L.) Bernh., 1800 subsp. niger",137134
Lathyrus niger (L.) Bernh.,Gesse noire,"Lathyrus niger (L.) Bernh., 1800 var. niger",613540
Lathyrus niger (L.) Bernh.,Gesse noire,"Lathyrus niger var. angustifolius Rouy, 1899",148091
Lathyrus niger (L.) Bernh.,Gesse noire,"Lathyrus niger (L.) Bernh., 1800",105230
Lathyrus palustris L.,Gesse des marais,"Lathyrus palustris L., 1753 subsp. palustris",137139
Lathyrus palustris L.,Gesse des marais,"Lathyrus palustris L., 1753",105239
Leersia oryzoides (L.) Swartz,Faux riz,"Leersia oryzoides (L.) Sw., 1788",105400
Linum leonii F.W. Schultz,Lin des Alpes,"Linum leonii F.W.Schultz, 1838",106306
Littorella uniflora (L.) Ascherson,Littorelle,"Littorella uniflora (L.) Asch., 1864",106419
Lobelia urens L.,Lobelie brulante,"Lobelia urens L., 1753",106435
Luronium natans (L.) Rafin,Fluteau nageant,"Luronium natans (L.) Raf., 1840",106807
Luzula sylvatica (Hudson) Gaudin,Luzule des bois,"Luzula sylvatica (Huds.) Gaudin, 1811 subsp. sylvatica",137522
Luzula sylvatica (Hudson) Gaudin,Luzule des bois,"Luzula sylvatica subsp. sieberi (Tausch) K.Richt., 1890",137521
Luzula sylvatica (Hudson) Gaudin,Luzule des bois,"Luzula sylvatica (Huds.) Gaudin, 1811",106863
Lychnis viscaria L.,Lychnis visqueux,"Viscaria vulgaris Bernh., 1800",129904
Lycopodium clavatum L.,Lycopode en massue,"Lycopodium clavatum L., 1753",107003
Melica ciliata L.,Melique ciliee,"Melica ciliata L., 1753 subsp. ciliata",137719
Melica ciliata L.,Melique ciliee,"Melica ciliata nothosubsp. thuringiaca (Rauschert) B.Bock, 2012",718249
Melica ciliata L.,Melique ciliee,"Melica ciliata subsp. magnolii (Godr. & Gren.) K.Richt., 1890",137723
Melica ciliata L.,Melique ciliee,"Melica ciliata subsp. transsilvanica (Schur) Husn., 1898",137726
Melica ciliata L.,Melique ciliee,"Melica ciliata L., 1753",107851
Melica nutans L.,Melique penchee,"Melica nutans L., 1753",107871
Micropyrum tenellum (L.) Link,Catapode des graviers,"Micropyrum tenellum (L.) Link, 1844",108519
Myrica gale L.,Piment royal,"Myrica gale L., 1753",109130
Myriophyllum alterniflorum DC.,Myriophylle a fleurs alternes,"Myriophyllum alterniflorum DC., 1815",109139
Ophrys sphegodes Miller ssp. litigiosa (Camus) Becherer,Ophrys araignee litigieuse,"Ophrys virescens Philippe, 1859",610963
Orchis palustris Jacq.,Orchis des marais,"Anacamptis palustris (Jacq.) R.M.Bateman, Pridgeon & M.W.Chase, 1997",82286
Oreopteris limbosperma (All.) Holub,Fougere des montagnes,"Oreopteris limbosperma (All.) Holub, 1969",111239
Orobanche purpurea Jacq.,Orobanche pourpree,"Phelipanche purpurea (Jacq.) Sojak, 1972 subsp. purpurea",612543
Orobanche purpurea Jacq.,Orobanche pourpree,"Phelipanche purpurea (Jacq.) Sojak, 1972",113099
Orobanche purpurea Jacq.,Orobanche pourpree,"Phelipanche purpurea subsp. millefolii (Rchb.) Carlon, G.Gomez, M.Lainz, Moreno Mor., O.Sanchez & Schneew, 2008",612541
Osmunda regalis L.,Osmonde royale,"Osmunda regalis L., 1753 var. regalis",970784
Osmunda regalis L.,Osmonde royale,"Osmunda regalis L., 1753",111815
Parnassia palustris L.,Parnassie des marais,"Parnassia palustris L., 1753",112426
Pedicularis palustris L.,Pediculaire des marais,"Pedicularis palustris L., 1753 subsp. palustris",138634
Pedicularis palustris L.,Pediculaire des marais,"Pedicularis palustris L., 1753",112590
Pedicularis sylvatica L.,Pediculaire des bois,"Pedicularis sylvatica L., 1753 subsp. sylvatica",138637
Pedicularis sylvatica L.,Pediculaire des bois,"Pedicularis sylvatica L., 1753",112601
Peucedanum cervaria Lapeyr.,Herbe aux cerfs,"Cervaria rivini Gaertn., 1788",90278
Peucedanum palustre (L.) Moench,Peucedan des marais,"Thysselinum palustre (L.) Hoffm., 1814",126615
Pinguicula vulgaris L.,Grassette commune,"Pinguicula vulgaris L., 1753 subsp. vulgaris",762169
Pinguicula vulgaris L.,Grassette commune,"Pinguicula vulgaris L., 1753 var. vulgaris",718748
Pinguicula vulgaris L.,Grassette commune,"Pinguicula vulgaris var. alpicola Rchb., 1823",149489
Pinguicula vulgaris L.,Grassette commune,"Pinguicula vulgaris L., 1753",113639
Poa palustris L.,Paturin des marais,"Poa palustris L., 1759",114312
Polycnemum majus A. Braun,Grand polycneme,"Polycnemum majus A.Braun ex Bogenh., 1841",114520
Polygala amara L. ssp. amarella (Crantz) Chodat,Polygala amer,"Polygala amarella Crantz, 1769",114526
Polygonum bistorta L.,Bistorte,"Bistorta officinalis Delarbre, 1800",86081
Polystichum aculeatum (L.) Roth,Polystic a frondes munies d'aiguillons,"Polystichum aculeatum (L.) Roth, 1799",115041
Potamogeton polygonifolius Pourret,Potamot a feuilles de renouee,"Potamogeton polygonifolius Pourr., 1788",115301
Potentilla montana Brot.,Potentille des montagnes,"Potentilla montana Brot., 1804",115560
Potentilla palustris (L.) Scop.,Comaret,"Comarum palustre L., 1753",92217
Potentilla supina L.,Potentille couchee,"Potentilla supina L., 1753 subsp. supina",718395
Potentilla supina L.,Potentille couchee,"Potentilla supina L., 1753",115669
Ranunculus gramineus L.,Renoncule a feuilles de graminee,"Ranunculus gramineus L., 1753",117049
Ranunculus hederaceus L.,Renoncule a feuilles de lierre,"Ranunculus hederaceus L., 1753",117056
Ranunculus ololeucos Lloyd,Renoncule toute blanche,"Ranunculus ololeucos J.Lloyd, 1844",117144
Ranunculus parviflorus L.,Renoncule a petites fleurs,"Ranunculus parviflorus L., 1758 subsp. parviflorus",718400
Ranunculus parviflorus L.,Renoncule a petites fleurs,"Ranunculus parviflorus L., 1758",117156
