Nom_valide,Nom_français,Règne,Classe,Ordre,Famille,CD_REF,CD_NOM
"Solidago gigantea Aiton, 1789",Tete d'or,Plantae (Plantes),Equisetopsida (Equisetopsides),Asterales (Asterales),Asteraceae (Asteracees),124168,124168
"Spiraea x billiardii Herincq, 1857",Spiree de Billiard,Plantae (Plantes),Equisetopsida (Equisetopsides),Rosales (Rosales),Rosaceae (Rosacees),124682,124682
"Sporobolus alterniflorus (Loisel.) P.M.Peterson & Saarela, 2014","Spartine a feuilles alternes, Sporobole a feuilles alternes",Plantae (Plantes),Equisetopsida (Equisetopsides),Poales (Poales),Poaceae (Poacees),1015861,1015861
"Sporobolus indicus (L.) R.Br., 1810","Sporobole des Indes, Sporobole fertile, Sporobole tenace",Plantae (Plantes),Equisetopsida (Equisetopsides),Poales (Poales),Poaceae (Poacees),124719,124719
"Stephanitis lauri Rietschel, 2014",Tigre du laurier (Le),Animalia (Animaux),Insecta (Insectes),"Hemiptera (Cigales, Cochenilles, Pucerons, Punaises)",Tingidae,932826,932826
"Symphyotrichum lanceolatum (Willd.) G.L.Nesom, 1995","Symphyotriche lanceole, Aster lanceole",Plantae (Plantes),Equisetopsida (Equisetopsides),Asterales (Asterales),Asteraceae (Asteracees),125330,125330
"Tamias sibiricus (Laxmann, 1769)","Tamia de Siberie, Ecureuil de Coree, Rat de Coree, Ecureuil japonais",Animalia (Animaux),Mammalia (Mammiferes),Rodentia (Rongeurs),"Sciuridae (Ecureuils, Marmottes)",61204,61204
"Threskiornis aethiopicus (Latham, 1790)",Ibis sacre,Animalia (Animaux),Aves (Oiseaux),Pelecaniformes,"Threskiornithidae (Ibis, Spatules)",2687,2687
"Trachemys scripta (Schoepff, 1792)","Trachemyde ecrite, Tortue de Floride",Animalia (Animaux), -,Chelonii (Tortues),Emydidae (Emydides),77424,77424
"Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985",Bryozoaire inopine,Animalia (Animaux),Gymnolaemata,Cheilostomatida,Candidae,378264,378264
"Tritia neritea (Linnaeus, 1758)","Nasse neritoide, Cyclonasse, Cyclope neritoide",Animalia (Animaux),Gastropoda (Gasteropodes),Neogastropoda,Nassariidae,825649,825649
"Undaria pinnatifida (Harvey) Suringar, 1873",Wakame,"Chromista (Chromistes, Lignee brune)","Phaeophyceae (Algues brunes, Pheophycees)",Laminariales,Alariaceae,73388,73388
"Vespa velutina nigrithorax du Buysson, 1905","Frelon a pattes jaunes, Frelon asiatique",Animalia (Animaux),Insecta (Insectes),Hymenoptera (Hymenopteres),Vespidae,433590,433590
"Vespa velutina Lepeletier, 1836","Frelon a pattes jaunes, Frelon asiatique, Vespa veloutee",Animalia (Animaux),Insecta (Insectes),Hymenoptera (Hymenopteres),Vespidae,433589,433589
"Wasmannia auropunctata (Roger, 1863)","Petite fourmi de feu, Fourmi rouge",Animalia (Animaux),Insecta (Insectes),Hymenoptera (Hymenopteres),Formicidae (Fourmis),532927,532927
"Womersleyella setacea (Hollenb.) R.E. Norris, 1992",Vomersleyelle setacee,Plantae (Plantes),Florideophyceae,Ceramiales,Rhodomelaceae,370833,370833
"Xenopus laevis laevis (Daudin, 1803)",Xenope lisse (Le),Animalia (Animaux),"Amphibia (Amphibiens, batraciens)",Anura (Anoures),Pipidae (Pipides),699626,699626
"Xenopus laevis (Daudin, 1803)",Xenope lisse (Le),Animalia (Animaux),"Amphibia (Amphibiens, batraciens)",Anura (Anoures),Pipidae (Pipides),79265,79265
"Xenostrobus securis (Lamarck, 1819)","Moule pygmee, Moule d'Australie",Animalia (Animaux),Bivalvia (Bivalves),Mytilida,Mytilidae,369759,369759
"Xeropicta derbentina (Krynicki, 1836)",Helicelle des Balkans,Animalia (Animaux),Gastropoda (Gasteropodes),Stylommatophora,Geomitridae,163293,163293
"Xylotrechus chinensis (Chevrolat, 1852)",Longicorne tigre (le),Animalia (Animaux),Insecta (Insectes),Coleoptera (Coleopteres),Cerambycidae (Longicornes),911079,911079
