Nom_valide,Nom_français,Règne,Classe,Ordre,Famille,CD_REF,CD_NOM
"Impatiens glandulifera Royle, 1833","Impatiente glanduleuse, Balsamine de l'Himalaya, Balsamine geante, Balsamine rouge",Plantae (Plantes),Equisetopsida (Equisetopsides),Ericales (Ericales),Balsaminaceae (Balsaminacees),103547,103547
"Lagarosiphon major (Ridl.) Moss, 1928",Lagarosiphon majeur,Plantae (Plantes),Equisetopsida (Equisetopsides),Alismatales (Alismatales),Hydrocharitaceae (Hydrocharitacees),104805,104805
"Lemna minuta Kunth, 1816","Lentille d'eau menue, Lenticule minuscule, Lentille d'eau minuscule",Plantae (Plantes),Equisetopsida (Equisetopsides),Alismatales (Alismatales),Araceae (Aracees),105433,105433
"Lemna turionifera Landolt, 1975","Lentille d'eau turionifere, Lenticule turionifere, Lenticule a turion",Plantae (Plantes),Equisetopsida (Equisetopsides),Alismatales (Alismatales),Araceae (Aracees),105442,105442
"Lepomis gibbosus (Linnaeus, 1758)","Perche-soleil, Boer, Calicoba, Perche arc-en-ciel, Perche argentee, Perche doree, Poisson tricolore, Poisson-soleil, Crapet-soleil",Animalia (Animaux),"Actinopterygii (Actinopterygiens, Poissons actinopterygiens)","Perciformes (Carangues, Daurades, Merous, Mulets, Perches)",Centrarchidae,69338,69338
"Limnoria lignorum (Rathke, 1799)","Limnorie du bois (La), Limnorie perforante (La)",Animalia (Animaux),Malacostraca (Malacostraces),Isopoda (Isopodes),Limnoriidae,374346,374346
"Linepithema humile (Mayr, 1868)",Fourmi d'Argentine,Animalia (Animaux),Insecta (Insectes),Hymenoptera (Hymenopteres),Formicidae (Fourmis),219464,219464
"Lonicera japonica Thunb., 1784","Chevrefeuille du Japon, Clematite du Japon",Plantae (Plantes),Equisetopsida (Equisetopsides),Dipsacales (Dipsacales),Caprifoliaceae (Caprifoliacees),106571,106571
"Ludwigia grandiflora subsp. hexapetala (Hook. & Arn.) G.L.Nesom & Kartesz, 2000",Ludwigie a six petales,Plantae (Plantes),Equisetopsida (Equisetopsides),Myrtales (Myrtales),Onagraceae (Onagracees),612513,612513
"Ludwigia grandiflora (Michx.) Greuter & Burdet, 1987","Ludwigie a grandes fleurs, Jussie a grandes fleurs, Jussie de l'Uruguay",Plantae (Plantes),Equisetopsida (Equisetopsides),Myrtales (Myrtales),Onagraceae (Onagracees),106742,106742
"Ludwigia peploides subsp. montevidensis (Spreng.) P.H.Raven, 1964","Ludwigie de Montevideo, Jussie de Montevideo",Plantae (Plantes),Equisetopsida (Equisetopsides),Myrtales (Myrtales),Onagraceae (Onagracees),612514,612514
"Ludwigia peploides (Kunth) P.H.Raven, 1964","Ludwigie faux peplis, Jussie faux peplis, Jussie rampante, Jussie",Plantae (Plantes),Equisetopsida (Equisetopsides),Myrtales (Myrtales),Onagraceae (Onagracees),106748,106748
"Lysichiton americanus Hulten & H.St.John, 1931","Lysichiton d'Amerique, Faux arum",Plantae (Plantes),Equisetopsida (Equisetopsides),Alismatales (Alismatales),Araceae (Aracees),610602,610602
"Magallana gigas (Thunberg, 1793)","Huitre creuse, Huitre japonaise, Huitre du Pacifique, Huitre portugaise",Animalia (Animaux),Bivalvia (Bivalves),Ostreida,Ostreidae,853681,853681
"Matsucoccus feytaudi Ducasse, 1941",Cochenille du pin maritime,Animalia (Animaux),Insecta (Insectes),"Hemiptera (Cigales, Cochenilles, Pucerons, Punaises)",Margarodidae,221738,221738
"Mnemiopsis leidyi A. Agassiz, 1865",Ctenophore americain,Animalia (Animaux),Tentaculata,Lobata,Bolinopsidae,379588,379588
"Myocastor coypus (Molina, 1782)",Ragondin,Animalia (Animaux),Mammalia (Mammiferes),Rodentia (Rongeurs),Echimyidae,61667,61667
