Genre,Famille,Ordre,Classe,Règne,Groupe_Grand_Public,CD_REF,Nom scientifique,CD_NOM
Colias,Pieridae,Lepidoptera,Insecta,Animalia,Insectes et araignees,54397,"Colias phicomone (Esper, 1780)",54397
Colias,Pieridae,Lepidoptera,Insecta,Animalia,Insectes et araignees,0,"Colias Fabricius, 1807",0
Conocephalus,Tettigoniidae,Orthoptera,Insecta,Animalia,Insectes et araignees,65878,"Conocephalus dorsalis (Latreille, 1804)",65878
Conocephalus,Tettigoniidae,Orthoptera,Insecta,Animalia,Insectes et araignees,65877,"Conocephalus fuscus (Fabricius, 1793)",65877
Conocephalus,Tettigoniidae,Orthoptera,Insecta,Animalia,Insectes et araignees,0,"Conocephalus Thunberg, 1815",0
Cophopodisma,Acrididae,Orthoptera,Insecta,Animalia,Insectes et araignees,66243,"Cophopodisma pyrenaea (Fischer, 1853)",66243
Cordulegaster,Cordulegastridae,Odonata,Insecta,Animalia,Insectes et araignees,199685,"Cordulegaster bidentata Selys, 1843",199685
Cordulegaster,Cordulegastridae,Odonata,Insecta,Animalia,Insectes et araignees,199686,"Cordulegaster boltonii boltonii (Donovan, 1807)",199686
Cordulegaster,Cordulegastridae,Odonata,Insecta,Animalia,Insectes et araignees,199694,"Cordulegaster boltonii immaculifrons Selys in Selys & Hagen, 1850",199687
Cordulegaster,Cordulegastridae,Odonata,Insecta,Animalia,Insectes et araignees,199694,"Cordulegaster boltonii (Donovan, 1807)",199694
Cordulegaster,Cordulegastridae,Odonata,Insecta,Animalia,Insectes et araignees,0,"Cordulegaster Leach, 1815",0
Cordulia,Corduliidae,Odonata,Insecta,Animalia,Insectes et araignees,65376,"Cordulia aenea (Linnaeus, 1758)",65376
Corsteropleurus,Tettigoniidae,Orthoptera,Insecta,Animalia,Insectes et araignees,837857,"Corsteropleurus chopardi (Ebner, 1939)",837857
Crocothemis,Libellulidae,Odonata,Insecta,Animalia,Insectes et araignees,65300,"Crocothemis erythraea (Brulle, 1832)",65300
Cupido,Lycaenidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,219794,"Cupido alcetas (Hoffmannsegg, 1804)",219794
Cupido,Lycaenidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,219793,"Cupido argiades (Pallas, 1771)",219793
Cupido,Lycaenidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,54029,"Cupido minimus (Fuessly, 1775)",54029
Cupido,Lycaenidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,54031,"Cupido osiris (Meigen, 1829)",54031
Cupido,Lycaenidae,Lepidoptera,Insecta,Animalia,Insectes et araignees,0,"Cupido Schrank, 1801",0
